domain,problem,status,time_taken(secs),memory_usage(MB),log_file
parking-opt11-strips,pfile08-030.pddl,failure,0.057,37.344,./stderr_dir/parking-opt11-strips_stderr.log
organic-synthesis-split-opt18,p20.pddl,failure,4.698,120.712,./stderr_dir/organic-synthesis-split-opt18_stderr.log
psr-large,p50-s219-n100-l3-f30.pddl,failure,0.077,37.976,./stderr_dir/psr-large_stderr.log
flashfill-sat18,p15.pddl,failure,3.043,91.528,./stderr_dir/flashfill-sat18_stderr.log
parking-sat14-strips,p_40_3.pddl,failure,0.045,37.372,./stderr_dir/parking-sat14-strips_stderr.log
woodworking-sat11-strips,p20.pddl,failure,0.133,38.68,./stderr_dir/woodworking-sat11-strips_stderr.log
floortile-opt14-strips,p03-6-5-2.pddl,failure,0.059,37.6,./stderr_dir/floortile-opt14-strips_stderr.log
philosophers,p48-phil49.pddl,failure,0.112,38.46,./stderr_dir/philosophers_stderr.log
settlers,p20_pfile20.pddl,failure,0.145,39.124,./stderr_dir/settlers_stderr.log
pegsol-08-strips,p30.pddl,failure,0.044,37.416,./stderr_dir/pegsol-08-strips_stderr.log
parcprinter-08-strips,p30.pddl,failure,0.160,39.052,./stderr_dir/parcprinter-08-strips_stderr.log
spider-sat18,p20.pddl,failure,0.136,39.092,./stderr_dir/spider-sat18_stderr.log
tidybot-opt11-strips,p20.pddl,failure,0.303,41.992,./stderr_dir/tidybot-opt11-strips_stderr.log
cavediving,testing20A_easy.pddl,failure,0.101,38.268,./stderr_dir/cavediving_stderr.log
citycar-sat14-adl,p4-5-3-0-2.pddl,failure,0.070,37.92,./stderr_dir/citycar-sat14-adl_stderr.log
transport-opt11-strips,p20.pddl,failure,0.050,37.372,./stderr_dir/transport-opt11-strips_stderr.log
transport-opt14-strips,p20.pddl,failure,0.045,37.468,./stderr_dir/transport-opt14-strips_stderr.log
barman-opt11-strips,pfile05-020.pddl,failure,0.116,38.152,./stderr_dir/barman-opt11-strips_stderr.log
transport-sat14-strips,p20.pddl,failure,0.064,37.372,./stderr_dir/transport-sat14-strips_stderr.log
sokoban-opt11-strips,p20.pddl,failure,0.069,37.516,./stderr_dir/sokoban-opt11-strips_stderr.log
blocks,probblocks-500-1.pddl,failure,0.067,37.472,./stderr_dir/blocks_stderr.log
ged-sat14-strips,d-12-11.pddl,failure,0.146,38.432,./stderr_dir/ged-sat14-strips_stderr.log
tidybot-sat11-strips,p20.pddl,failure,0.378,42.292,./stderr_dir/tidybot-sat11-strips_stderr.log
openstacks-opt08-adl,p30.pddl,failure,0.060,37.48,./stderr_dir/openstacks-opt08-adl_stderr.log
ged-opt14-strips,d-8-9.pddl,failure,0.154,38.508,./stderr_dir/ged-opt14-strips_stderr.log
sokoban-opt08-strips,p30.pddl,failure,0.100,37.696,./stderr_dir/sokoban-opt08-strips_stderr.log
organic-synthesis-split-sat18,p20.pddl,failure,5.159,120.42,./stderr_dir/organic-synthesis-split-sat18_stderr.log
cybersec,p30.pddl,failure,113.035,1818.98,./stderr_dir/cybersec_stderr.log
tetris-sat14-strips,p040.pddl,failure,0.107,37.776,./stderr_dir/tetris-sat14-strips_stderr.log
sokoban-sat11-strips,p20.pddl,failure,0.073,37.552,./stderr_dir/sokoban-sat11-strips_stderr.log
agricola-sat18,p11.pddl,failure,0.266,39.772,./stderr_dir/agricola-sat18_stderr.log
transport-sat11-strips,p20.pddl,failure,0.071,37.332,./stderr_dir/transport-sat11-strips_stderr.log
organic-synthesis-sat18,p20.pddl,failure,206.951,56.428,./stderr_dir/organic-synthesis-sat18_stderr.log
airport-adl,p49-airport5MUC-p10.pddl,failure,2.045,60.848,./stderr_dir/airport-adl_stderr.log
tetris-opt14-strips,p05-10.pddl,failure,0.127,38.072,./stderr_dir/tetris-opt14-strips_stderr.log
data-network-opt18,p20.pddl,failure,0.110,37.852,./stderr_dir/data-network-opt18_stderr.log
scanalyzer-sat11-strips,p20.pddl,failure,0.081,37.448,./stderr_dir/scanalyzer-sat11-strips_stderr.log
assembly,prob30.pddl,failure,0.351,41.484,./stderr_dir/assembly_stderr.log
psr-middle,p50-s153-n10-l4-f30.pddl,failure,0.099,37.852,./stderr_dir/psr-middle_stderr.log
openstacks-opt11-strips,p20.pddl,failure,0.279,39.948,./stderr_dir/openstacks-opt11-strips_stderr.log
data-network-sat18,p20.pddl,failure,0.111,38.164,./stderr_dir/data-network-sat18_stderr.log
