domain,problem,status,time_taken(secs),memory_usage(MB),log_file
psr-large,p50-s219-n100-l3-f30.pddl,failure,0.065,37.904,./stderr_dir/psr-large_stderr.log
flashfill-sat18,p15.pddl,failure,140.674,300.004,./stderr_dir/flashfill-sat18_stderr.log
philosophers,p48-phil49.pddl,failure,0.116,38.36,./stderr_dir/philosophers_stderr.log
settlers,p20_pfile20.pddl,failure,0.147,38.872,./stderr_dir/settlers_stderr.log
tidybot-opt11-strips,p20.pddl,failure,0.289,41.688,./stderr_dir/tidybot-opt11-strips_stderr.log
blocks,probblocks-500-1.pddl,failure,0.046,37.24,./stderr_dir/blocks_stderr.log
floortile-sat11-strips,seq-p10-020.pddl,failure,0.055,37.576,./stderr_dir/floortile-sat11-strips_stderr.log
ged-sat14-strips,d-12-11.pddl,failure,0.123,38.876,./stderr_dir/ged-sat14-strips_stderr.log
tidybot-sat11-strips,p20.pddl,failure,0.302,42.224,./stderr_dir/tidybot-sat11-strips_stderr.log
ged-opt14-strips,d-8-9.pddl,failure,0.113,38.58,./stderr_dir/ged-opt14-strips_stderr.log
cybersec,p30.pddl,failure,358.753,4944.948,./stderr_dir/cybersec_stderr.log
tetris-sat14-strips,p040.pddl,failure,0.073,37.704,./stderr_dir/tetris-sat14-strips_stderr.log
petri-net-alignment-opt18,p20.pddl,failure,2.633,88.348,./stderr_dir/petri-net-alignment-opt18_stderr.log
organic-synthesis-sat18,p20.pddl,failure,196.528,56.268,./stderr_dir/organic-synthesis-sat18_stderr.log
settlers-opt18,p20.pddl,failure,0.416,44.128,./stderr_dir/settlers-opt18_stderr.log
airport-adl,p49-airport5MUC-p10.pddl,failure,1.474,60.996,./stderr_dir/airport-adl_stderr.log
tetris-opt14-strips,p05-10.pddl,failure,0.068,38.116,./stderr_dir/tetris-opt14-strips_stderr.log
assembly,prob30.pddl,failure,0.243,41.624,./stderr_dir/assembly_stderr.log
psr-middle,p50-s153-n10-l4-f30.pddl,failure,0.072,37.908,./stderr_dir/psr-middle_stderr.log
movie,prob30.pddl,failure,0.086,37.416,./stderr_dir/movie_stderr.log
tidybot-opt14-strips,p20.pddl,failure,0.274,41.724,./stderr_dir/tidybot-opt14-strips_stderr.log
floortile-opt11-strips,opt-p10-020.pddl,failure,0.066,37.792,./stderr_dir/floortile-opt11-strips_stderr.log
storage,p30.pddl,failure,0.061,37.484,./stderr_dir/storage_stderr.log
settlers-sat18,p20.pddl,failure,0.459,44.388,./stderr_dir/settlers-sat18_stderr.log
tyreworld,pfile30.pddl,failure,0.067,37.52,./stderr_dir/tyreworld_stderr.log
openstacks-strips,p30.pddl,failure,158.831,2042.036,./stderr_dir/openstacks-strips_stderr.log
organic-synthesis-opt18,p20.pddl,failure,228.525,55.02,./stderr_dir/organic-synthesis-opt18_stderr.log
elevators-00-full,f30-4.pddl,failure,0.523,47.82,./stderr_dir/elevators-00-full_stderr.log
optical-telegraphs,p48-opt49.pddl,failure,0.125,38.364,./stderr_dir/optical-telegraphs_stderr.log
fridge,p-9fridges-10screws.pddl,failure,0.014,36.768,./stderr_dir/fridge_stderr.log
miconic-fulladl,f30-4.pddl,failure,0.736,49.472,./stderr_dir/miconic-fulladl_stderr.log
