domain,problem,status,time_taken(secs),memory_usage(MB),log_file
parking-opt11-strips , pfile08-030.pddl ,failure,0.047,37.532,./stderr_dir-l/parking-opt11-strips_stderr.log
organic-synthesis-split-opt18 , p20.pddl ,failure,4.811,120.7,./stderr_dir-l/organic-synthesis-split-opt18_stderr.log
psr-large , p50-s219-n100-l3-f30.pddl ,failure,0.068,37.908,./stderr_dir-l/psr-large_stderr.log
flashfill-sat18 , p15.pddl ,failure,3.516,91.344,./stderr_dir-l/flashfill-sat18_stderr.log
parking-sat14-strips , p_40_3.pddl ,failure,0.075,37.624,./stderr_dir-l/parking-sat14-strips_stderr.log
woodworking-sat11-strips , p20.pddl ,failure,0.295,38.944,./stderr_dir-l/woodworking-sat11-strips_stderr.log
floortile-opt14-strips , p03-6-5-2.pddl ,failure,0.069,37.944,./stderr_dir-l/floortile-opt14-strips_stderr.log
philosophers , p48-phil49.pddl ,failure,0.140,38.556,./stderr_dir-l/philosophers_stderr.log
settlers , p20_pfile20.pddl ,failure,0.185,39.168,./stderr_dir-l/settlers_stderr.log
pegsol-08-strips , p30.pddl ,failure,0.064,37.444,./stderr_dir-l/pegsol-08-strips_stderr.log
parcprinter-08-strips , p30.pddl ,failure,0.216,39.108,./stderr_dir-l/parcprinter-08-strips_stderr.log
spider-sat18 , p20.pddl ,failure,0.204,39.184,./stderr_dir-l/spider-sat18_stderr.log
tidybot-opt11-strips , p20.pddl ,failure,0.439,42.036,./stderr_dir-l/tidybot-opt11-strips_stderr.log
cavediving , testing20A_easy.pddl ,failure,0.129,37.744,./stderr_dir-l/cavediving_stderr.log
citycar-sat14-adl , p4-5-3-0-2.pddl ,failure,0.105,38.012,./stderr_dir-l/citycar-sat14-adl_stderr.log
transport-opt11-strips , p20.pddl ,failure,0.067,37.528,./stderr_dir-l/transport-opt11-strips_stderr.log
transport-opt14-strips , p20.pddl ,failure,0.050,37.528,./stderr_dir-l/transport-opt14-strips_stderr.log
barman-opt11-strips , pfile05-020.pddl ,failure,0.108,38.016,./stderr_dir-l/barman-opt11-strips_stderr.log
transport-sat14-strips , p20.pddl ,failure,0.064,37.196,./stderr_dir-l/transport-sat14-strips_stderr.log
sokoban-opt11-strips , p20.pddl ,failure,0.080,37.444,./stderr_dir-l/sokoban-opt11-strips_stderr.log
blocks , probblocks-500-1.pddl ,failure,0.076,37.532,./stderr_dir-l/blocks_stderr.log
ged-sat14-strips , d-12-11.pddl ,failure,0.140,38.436,./stderr_dir-l/ged-sat14-strips_stderr.log
tidybot-sat11-strips , p20.pddl ,failure,0.390,42.432,./stderr_dir-l/tidybot-sat11-strips_stderr.log
openstacks-opt08-adl , p30.pddl ,failure,0.059,37.528,./stderr_dir-l/openstacks-opt08-adl_stderr.log
ged-opt14-strips , d-8-9.pddl ,failure,0.105,38.4,./stderr_dir-l/ged-opt14-strips_stderr.log
sokoban-opt08-strips , p30.pddl ,failure,0.053,37.52,./stderr_dir-l/sokoban-opt08-strips_stderr.log
organic-synthesis-split-sat18 , p20.pddl ,failure,4.436,120.684,./stderr_dir-l/organic-synthesis-split-sat18_stderr.log
cybersec , p30.pddl ,failure,296.374,4396.804,./stderr_dir-l/cybersec_stderr.log
tetris-sat14-strips , p040.pddl ,failure,0.121,37.9,./stderr_dir-l/tetris-sat14-strips_stderr.log
sokoban-sat11-strips , p20.pddl ,failure,0.100,37.276,./stderr_dir-l/sokoban-sat11-strips_stderr.log
agricola-sat18 , p11.pddl ,failure,0.350,39.488,./stderr_dir-l/agricola-sat18_stderr.log
transport-sat11-strips , p20.pddl ,failure,0.083,37.2,./stderr_dir-l/transport-sat11-strips_stderr.log
organic-synthesis-sat18 , p18.pddl ,failure,325.219,55.732,./stderr_dir-l/organic-synthesis-sat18_stderr.log
airport-adl , p49-airport5MUC-p10.pddl ,failure,1.494,61.092,./stderr_dir-l/airport-adl_stderr.log
tetris-opt14-strips , p05-10.pddl ,failure,0.080,38.052,./stderr_dir-l/tetris-opt14-strips_stderr.log
data-network-opt18 , p20.pddl ,failure,0.120,37.984,./stderr_dir-l/data-network-opt18_stderr.log
scanalyzer-sat11-strips , p20.pddl ,failure,0.119,37.516,./stderr_dir-l/scanalyzer-sat11-strips_stderr.log
assembly , prob30.pddl ,failure,0.373,41.22,./stderr_dir-l/assembly_stderr.log
psr-middle , p50-s153-n10-l4-f30.pddl ,failure,0.099,37.848,./stderr_dir-l/psr-middle_stderr.log
openstacks-opt11-strips , p20.pddl ,failure,0.282,40.0,./stderr_dir-l/openstacks-opt11-strips_stderr.log
data-network-sat18 , p20.pddl ,failure,0.113,37.96,./stderr_dir-l/data-network-sat18_stderr.log
transport-opt08-strips , p30.pddl ,failure,0.099,37.376,./stderr_dir-l/transport-opt08-strips_stderr.log
openstacks-sat14-strips , p290_3.pddl ,failure,4.640,86.344,./stderr_dir-l/openstacks-sat14-strips_stderr.log
elevators-opt11-strips , p20.pddl ,failure,0.083,37.536,./stderr_dir-l/elevators-opt11-strips_stderr.log
transport-sat08-strips , p30.pddl ,failure,0.064,37.268,./stderr_dir-l/transport-sat08-strips_stderr.log
nomystery-sat11-strips , p20.pddl ,failure,0.067,37.192,./stderr_dir-l/nomystery-sat11-strips_stderr.log
caldera-split-opt18 , p20.pddl ,failure,0.232,40.216,./stderr_dir-l/caldera-split-opt18_stderr.log
openstacks-opt08-strips , p30.pddl ,failure,0.239,40.524,./stderr_dir-l/openstacks-opt08-strips_stderr.log
woodworking-opt08-strips , p30.pddl ,failure,0.194,38.888,./stderr_dir-l/woodworking-opt08-strips_stderr.log
pegsol-sat11-strips , p20.pddl ,failure,0.074,37.264,./stderr_dir-l/pegsol-sat11-strips_stderr.log
elevators-opt08-strips , p30.pddl ,failure,0.099,37.644,./stderr_dir-l/elevators-opt08-strips_stderr.log
nomystery-opt11-strips , p20.pddl ,failure,0.074,37.332,./stderr_dir-l/nomystery-opt11-strips_stderr.log
movie , prob30.pddl ,failure,0.133,37.672,./stderr_dir-l/movie_stderr.log
tidybot-opt14-strips , p20.pddl ,failure,0.375,41.888,./stderr_dir-l/tidybot-opt14-strips_stderr.log
openstacks-sat08-adl , p30.pddl ,failure,0.066,37.376,./stderr_dir-l/openstacks-sat08-adl_stderr.log
parking-opt14-strips , p_20_11-04.pddl ,failure,0.062,37.252,./stderr_dir-l/parking-opt14-strips_stderr.log
storage , p30.pddl ,failure,0.073,37.5,./stderr_dir-l/storage_stderr.log
tyreworld , pfile30.pddl ,failure,0.085,37.636,./stderr_dir-l/tyreworld_stderr.log
parcprinter-opt11-strips , p20.pddl ,failure,0.243,38.824,./stderr_dir-l/parcprinter-opt11-strips_stderr.log
openstacks-strips , p30.pddl ,failure,201.033,2042.02,./stderr_dir-l/openstacks-strips_stderr.log
