domain,problem,status,time_taken(secs),memory_usage(MB),log_file
psr-large , p50-s219-n100-l3-f30.pddl ,failure,0.075,37.7,./stderr_dir/psr-large_stderr.log
philosophers , p48-phil49.pddl ,failure,0.156,38.388,./stderr_dir/philosophers_stderr.log
settlers , p20_pfile20.pddl ,failure,0.197,38.968,./stderr_dir/settlers_stderr.log
tidybot-opt11-strips , p20.pddl ,failure,0.342,41.456,./stderr_dir/tidybot-opt11-strips_stderr.log
blocks , probblocks-500-1.pddl ,failure,0.069,37.416,./stderr_dir/blocks_stderr.log
floortile-sat11-strips , seq-p10-020.pddl ,failure,0.086,37.708,./stderr_dir/floortile-sat11-strips_stderr.log
ged-sat14-strips , d-12-11.pddl ,failure,0.164,38.752,./stderr_dir/ged-sat14-strips_stderr.log
tidybot-sat11-strips , p20.pddl ,failure,0.398,42.192,./stderr_dir/tidybot-sat11-strips_stderr.log
ged-opt14-strips , d-8-9.pddl ,failure,0.121,38.58,./stderr_dir/ged-opt14-strips_stderr.log
cybersec , p30.pddl ,failure,365.943,4944.98,./stderr_dir/cybersec_stderr.log
tetris-sat14-strips , p040.pddl ,failure,0.087,37.796,./stderr_dir/tetris-sat14-strips_stderr.log
petri-net-alignment-opt18 , p20.pddl ,failure,2.846,88.04,./stderr_dir/petri-net-alignment-opt18_stderr.log
organic-synthesis-sat18 , p18.pddl ,failure,284.762,55.416,./stderr_dir/organic-synthesis-sat18_stderr.log
settlers-opt18 , p20.pddl ,failure,0.455,44.244,./stderr_dir/settlers-opt18_stderr.log
airport-adl , p49-airport5MUC-p10.pddl ,failure,1.490,60.756,./stderr_dir/airport-adl_stderr.log
tetris-opt14-strips , p05-10.pddl ,failure,0.076,37.664,./stderr_dir/tetris-opt14-strips_stderr.log
assembly , prob30.pddl ,failure,0.255,41.352,./stderr_dir/assembly_stderr.log
psr-middle , p50-s153-n10-l4-f30.pddl ,failure,0.073,37.74,./stderr_dir/psr-middle_stderr.log
movie , prob30.pddl ,failure,0.102,37.576,./stderr_dir/movie_stderr.log
tidybot-opt14-strips , p20.pddl ,failure,0.288,41.74,./stderr_dir/tidybot-opt14-strips_stderr.log
floortile-opt11-strips , opt-p10-020.pddl ,failure,0.083,37.528,./stderr_dir/floortile-opt11-strips_stderr.log
storage , p30.pddl ,failure,0.076,37.776,./stderr_dir/storage_stderr.log
settlers-sat18 , p20.pddl ,failure,0.561,44.212,./stderr_dir/settlers-sat18_stderr.log
tyreworld , pfile30.pddl ,failure,0.081,37.744,./stderr_dir/tyreworld_stderr.log
openstacks-strips , p30.pddl ,failure,169.185,2042.2,./stderr_dir/openstacks-strips_stderr.log
organic-synthesis-opt18 , p20.pddl ,failure,250.746,55.128,./stderr_dir/organic-synthesis-opt18_stderr.log
elevators-00-full , f30-4.pddl ,failure,0.712,47.96,./stderr_dir/elevators-00-full_stderr.log
optical-telegraphs , p48-opt49.pddl ,failure,0.134,38.468,./stderr_dir/optical-telegraphs_stderr.log
fridge , p-9fridges-10screws.pddl ,failure,0.020,36.716,./stderr_dir/fridge_stderr.log
miconic-fulladl , f30-4.pddl ,failure,0.958,49.296,./stderr_dir/miconic-fulladl_stderr.log
