domain,problem,status,time_taken(secs),memory_usage(MB),log_file
openstacks , p30.pddl ,success,1.679,58.148,./stderr_dir-l/openstacks_stderr.log
parking-opt11-strips , pfile08-030.pddl ,failure,0.047,37.532,./stderr_dir-l/parking-opt11-strips_stderr.log
nurikabe-sat18 , p20.pddl ,success,3.167,77.488,./stderr_dir-l/nurikabe-sat18_stderr.log
organic-synthesis-split-opt18 , p20.pddl ,failure,4.811,120.7,./stderr_dir-l/organic-synthesis-split-opt18_stderr.log
psr-large , p50-s219-n100-l3-f30.pddl ,failure,0.068,37.908,./stderr_dir-l/psr-large_stderr.log
flashfill-sat18 , p15.pddl ,failure,3.516,91.344,./stderr_dir-l/flashfill-sat18_stderr.log
barman-sat14-strips , p5-11-5-16.pddl ,success,0.309,39.472,./stderr_dir-l/barman-sat14-strips_stderr.log
nurikabe-opt18 , p20.pddl ,success,1.400,59.4,./stderr_dir-l/nurikabe-opt18_stderr.log
rovers , p40.pddl ,success,3.041,77.0,./stderr_dir-l/rovers_stderr.log
elevators-00-adl , s30-4.pddl ,success,1.051,49.784,./stderr_dir-l/elevators-00-adl_stderr.log
mprime , prob35.pddl ,success,0.143,38.476,./stderr_dir-l/mprime_stderr.log
parking-sat14-strips , p_40_3.pddl ,failure,0.075,37.624,./stderr_dir-l/parking-sat14-strips_stderr.log
woodworking-sat11-strips , p20.pddl ,failure,0.295,38.944,./stderr_dir-l/woodworking-sat11-strips_stderr.log
logistics00 , problogistics-100-1.pddl ,success,1.583,90.896,./stderr_dir-l/logistics00_stderr.log
rovers-02 , pfile20.pddl ,success,0.578,46.572,./stderr_dir-l/rovers-02_stderr.log
blocks-3op , pfile30.pddl ,success,0.328,50.096,./stderr_dir-l/blocks-3op_stderr.log
floortile-opt14-strips , p03-6-5-2.pddl ,failure,0.069,37.944,./stderr_dir-l/floortile-opt14-strips_stderr.log
philosophers , p48-phil49.pddl ,failure,0.140,38.556,./stderr_dir-l/philosophers_stderr.log
settlers , p20_pfile20.pddl ,failure,0.185,39.168,./stderr_dir-l/settlers_stderr.log
visitall-opt11-strips , problem11-half.pddl ,success,0.307,40.752,./stderr_dir-l/visitall-opt11-strips_stderr.log
pegsol-08-strips , p30.pddl ,failure,0.064,37.444,./stderr_dir-l/pegsol-08-strips_stderr.log
parcprinter-08-strips , p30.pddl ,failure,0.216,39.108,./stderr_dir-l/parcprinter-08-strips_stderr.log
spider-sat18 , p20.pddl ,failure,0.204,39.184,./stderr_dir-l/spider-sat18_stderr.log
tidybot-opt11-strips , p20.pddl ,failure,0.439,42.036,./stderr_dir-l/tidybot-opt11-strips_stderr.log
cavediving , testing20A_easy.pddl ,failure,0.129,37.744,./stderr_dir-l/cavediving_stderr.log
citycar-sat14-adl , p4-5-3-0-2.pddl ,failure,0.105,38.012,./stderr_dir-l/citycar-sat14-adl_stderr.log
transport-opt11-strips , p20.pddl ,failure,0.067,37.528,./stderr_dir-l/transport-opt11-strips_stderr.log
satellite , p36-HC-pfile16.pddl ,success,3.916,213.592,./stderr_dir-l/satellite_stderr.log
transport-opt14-strips , p20.pddl ,failure,0.050,37.528,./stderr_dir-l/transport-opt14-strips_stderr.log
gripper , prob20.pddl ,success,0.096,37.992,./stderr_dir-l/gripper_stderr.log
barman-opt11-strips , pfile05-020.pddl ,failure,0.108,38.016,./stderr_dir-l/barman-opt11-strips_stderr.log
transport-sat14-strips , p20.pddl ,failure,0.064,37.196,./stderr_dir-l/transport-sat14-strips_stderr.log
pipesworld-tankage , p01-net1-b6-g2-t50.pddl ,success,0.230,38.372,./stderr_dir-l/pipesworld-tankage_stderr.log
thoughtful-sat14-strips , p11_6_53-typed.pddl ,success,0.498,46.612,./stderr_dir-l/thoughtful-sat14-strips_stderr.log
sokoban-opt11-strips , p20.pddl ,failure,0.080,37.444,./stderr_dir-l/sokoban-opt11-strips_stderr.log
blocks , probblocks-500-1.pddl ,failure,0.076,37.532,./stderr_dir-l/blocks_stderr.log
floortile-sat11-strips , seq-p10-020.pddl ,success,0.276,39.848,./stderr_dir-l/floortile-sat11-strips_stderr.log
mystery , prob30.pddl ,success,0.218,40.064,./stderr_dir-l/mystery_stderr.log
miconic-simpleadl , s30-4.pddl ,success,0.827,49.9,./stderr_dir-l/miconic-simpleadl_stderr.log
ged-sat14-strips , d-12-11.pddl ,failure,0.140,38.436,./stderr_dir-l/ged-sat14-strips_stderr.log
