domain,problem,status,time_taken(secs),memory_usage(MB),log_file
openstacks , p30.pddl ,success,1.353,57.664,./stderr_dir/openstacks_stderr.log
parking-opt11-strips , pfile08-030.pddl ,success,0.293,48.776,./stderr_dir/parking-opt11-strips_stderr.log
nurikabe-sat18 , p20.pddl ,success,3.028,77.188,./stderr_dir/nurikabe-sat18_stderr.log
organic-synthesis-split-opt18 , p20.pddl ,success,6.356,170.452,./stderr_dir/organic-synthesis-split-opt18_stderr.log
psr-large , p50-s219-n100-l3-f30.pddl ,failure,0.075,37.7,./stderr_dir/psr-large_stderr.log
flashfill-sat18 , p15.pddl ,success,170.066,323.736,./stderr_dir/flashfill-sat18_stderr.log
barman-sat14-strips , p5-11-5-16.pddl ,success,0.268,39.504,./stderr_dir/barman-sat14-strips_stderr.log
nurikabe-opt18 , p20.pddl ,success,1.321,59.2,./stderr_dir/nurikabe-opt18_stderr.log
rovers , p40.pddl ,success,2.876,76.748,./stderr_dir/rovers_stderr.log
elevators-00-adl , s30-4.pddl ,success,0.847,49.772,./stderr_dir/elevators-00-adl_stderr.log
mprime , prob35.pddl ,success,0.124,38.232,./stderr_dir/mprime_stderr.log
parking-sat14-strips , p_40_3.pddl ,success,1.395,94.348,./stderr_dir/parking-sat14-strips_stderr.log
woodworking-sat11-strips , p20.pddl ,success,0.570,51.204,./stderr_dir/woodworking-sat11-strips_stderr.log
logistics00 , problogistics-100-1.pddl ,success,1.496,91.004,./stderr_dir/logistics00_stderr.log
rovers-02 , pfile20.pddl ,success,0.574,46.356,./stderr_dir/rovers-02_stderr.log
blocks-3op , pfile30.pddl ,success,0.378,50.16,./stderr_dir/blocks-3op_stderr.log
floortile-opt14-strips , p03-6-5-2.pddl ,success,0.210,38.82,./stderr_dir/floortile-opt14-strips_stderr.log
philosophers , p48-phil49.pddl ,failure,0.156,38.388,./stderr_dir/philosophers_stderr.log
settlers , p20_pfile20.pddl ,failure,0.197,38.968,./stderr_dir/settlers_stderr.log
visitall-opt11-strips , problem11-half.pddl ,success,0.305,40.572,./stderr_dir/visitall-opt11-strips_stderr.log
pegsol-08-strips , p30.pddl ,success,0.186,38.436,./stderr_dir/pegsol-08-strips_stderr.log
parcprinter-08-strips , p30.pddl ,success,0.344,40.956,./stderr_dir/parcprinter-08-strips_stderr.log
spider-sat18 , p20.pddl ,success,1.599,64.964,./stderr_dir/spider-sat18_stderr.log
tidybot-opt11-strips , p20.pddl ,failure,0.342,41.456,./stderr_dir/tidybot-opt11-strips_stderr.log
